horse_id,sire,dam_sire
2021105971,ドレフォン,フジキセキ
2022103228,マインドユアビスケッツ,キングカメハメハ
2022102952,リアルスティール,キングカメハメハ
2022104317,マインドユアビスケッツ,ディープインパクト
2022102035,ルヴァンスレーヴ,スマートファルコン
2022102292,レイデオロ,ディープインパクト
2022105571,ミスターメロディ,マンハッタンカフェ
2022105568,レイデオロ,マンハッタンカフェ
2022105025,レイデオロ,ゼンノロブロイ
2022102653,リアルスティール,クロフネ
2022105148,ルーラーシップ,ディープインパクト
2022105392,ブリックスアンドモルタル,Frankel
2022105986,サートゥルナーリア,ステイゴールド
2022103993,マクフィ,サクラバクシンオー
2022106219,サンダースノー,ステイゴールド
2022101402,ロードカナロア,マンハッタンカフェ
2022104316,ビッグアーサー,ディープインパクト
2022100614,オルフェーヴル,クロフネ
2022110031,Dark Angel,Invincible Spirit
2022105339,ブリックスアンドモルタル,Refuse to Bend
2022100656,ロードカナロア,ハーツクライ
2022100280,ビーチパトロール,ネオユニヴァース
2022103488,マインドユアビスケッツ,マツリダゴッホ
2022104514,モズアスコット,アグネスタキオン
2022106233,イスラボニータ,Astronomer Royal
2022106295,サトノクラウン,アグネスタキオン
2022103570,エイシンフラッシュ,ローエングリン
2022105593,ミッキーアイル,エイシンフラッシュ
2022100624,ロードカナロア,オルフェーヴル
2022103235,フォーウィールドライブ,アイルハヴアナザーI'
2022102611,フサイチセブン,New Approach
2022106754,ラニ,Raven's Pass
2022101347,ブラックタイド,サウスヴィグラス
2022103551,マジェスティックウォリアー,スペシャルウィーク
2022103156,ラブリーデイ,タイキシャトル
2022103336,ダノンバラード,フレンチデピュティ
2022102798,リオンディーズ,アッミラーレ
2022106961,イスラボニータ,キングカメハメハ
2022103916,ルヴァンスレーヴ,ダイワメジャー
2022106201,ニューイヤーズデイ,Bernardini
2022106678,ミッキーアイル,ハービンジャー
2022103999,デクラレーションオブウォー,Milt's Overture
2022103608,マスクゾロ,シンボリクリスエス
2022105166,キズナ,Tiz Wonderful
2022103712,ルーラーシップ,ディープインパクト
2022103590,エピファネイア,キングカメハメハ
2022104164,ゴールドシップ,ダノンシャンティ
2022104834,サートゥルナーリア,ハービンジャー
2022105400,キンシャサノキセキ,アグネスタキオン
2022103524,ノヴェリスト,Danehill Dancer
2022101570,エピファネイア,Dream Ahead
2022106903,オルフェーヴル,オペラハウス
2023105394,キズナ,キングカメハメハ
2023100207,リオンディーズ,Sinndar
2023100794,ノーブルミッション,ブラックタイド
2023101557,サングレーザー,オルフェーヴル
2023106577,タワーオブロンドン,エイシンフラッシュ
2023102706,シスキン,フジキセキ
2022101536,モズアスコット,ダイワメジャー
2022110110,City of Light,Union Rags
2021106347,ブラックタイド,アフリート
2022101936,ナダル,トウカイテイオー
2021100906,バンブーエール,マルカシェンク
2019100234,エスポワールシチー,クロフネ
2022110111,Mitole,ヘニーヒューズ
2017104266,ジョーカプチーノ,ウイニングチケット
2021105128,エピファネイア,キングカメハメハ
2021107262,アニマルキングダム,ヨハネスブルグ
2022102435,リアルスティール,キングカメハメハ
2020105167,オルフェーヴル,サクラバクシンオー
2021103232,レイデオロ,Street Cry
2022106593,アドマイヤマーズ,クロフネ
2021101533,ドレフォン,オレハマッテルゼ
2020104855,ドレフォン,ゴールドアリュール
2022101706,ニューイヤーズデイ,Kingmambo
2021104850,ディーマジェスティ,クロフネ
2022103619,タワーオブロンドン,ゴールドアリュール
2022105145,ナダル,ハーツクライ
2022105452,イスラボニータ,Awesome Again
2022100629,ダノンレジェンド,エンパイアメーカー
2022100201,フォーウィールドライブ,ディープインパクト
2020103655,ハービンジャー,アドマイヤベガ
2022105431,サトノダイヤモンド,Reliable Man
2022105766,オルフェーヴル,Scat Daddy
2022104592,シルバーステート,キングカメハメハ
2020102802,ハーツクライ,Dubawi
2021103267,ダノンバラード,ジャングルポケット
2021103238,サトノダイヤモンド,Petionville
2022103042,フィエールマン,ケイムホーム
2021100564,エピファネイア,ダイワメジャー
2022105233,ブリックスアンドモルタル,Quality Road
2022100905,モズアスコット,ゴールドアリュール
2021101100,オルフェーヴル,ストラヴィンスキー
2020105897,ヤマカツエース,アグネスデジタル
2022100737,アドマイヤマーズ,Acclamation
2021110079,Pivotal,デクラレーションオブウォー
2021103145,レッドファルクス,ダイワメジャー
2021102009,パイロ,ゴールドアリュール
2021105182,キンシャサノキセキ,Monsun
2021110103,Liam's Map,Tapit
2021105272,イスラボニータ,Smart Strike
2021106157,モーニン,キングヘイロー
2021105120,ロードカナロア,ファルブラヴ
2019106414,キングカメハメハ,Galileo
2019104056,ドゥラメンテ,Petionville
2021105829,キズナ,Not for Sale
2020105656,キズナ,Malibu Moon
2020105798,ゴールドシップ,Linamix
2018104638,ジャスタウェイ,High Chaparral
2021104882,キズナ,Monsun
2020103666,エピファネイア,ディープインパクト
2019103850,バゴ,ディープインパクト
2020103945,ゴールドシップ,コンデュイット
2020103794,ハーツクライ,スウェプトオーヴァーボード
2020103792,ハービンジャー,キングカメハメハ
2020102734,ハーツクライ,フレンチデピュティ
2019100572,キタサンブラック,スウェプトオーヴァーボード
